category,model,name,title,image,price,description,properties
Для потолка,Потолочная панель. Сакура,04110 дизайн - панели PANDA Потолочная панель. Сакура Панно,04110 дизайн - панели PANDA Потолочная панель. Сакура Панно,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/acf/acfc1bcf13c7870a2fff050d2a4175f0.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/79b/79bc58a21ad909ff5ade9ad9de15bf4c.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/961/9619b77a96ad4969ffaf9d2b1ea3289f.jpg",700,,"Комплект шт---2|Высота---2 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,5 кв.м.|Упаковка---16 панелей|Объем упаковки---0,07 куб.м."
Ванная,Лазурь,"07320 дизайн-панели PANDA ""Лазурь""","07320 дизайн-панели PANDA ""Лазурь""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/212/212b2209c3804d543d273965aa0b5f0c.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5bf/5bff22a526100505ae9c4a3be10531a5.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/772/7723812c06cc13f5d9b42f2d83bf0aa0.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/2fb/2fbf62ebc26bec039027b6d9e4059a7b.png",1784,"&lt;p&gt;
 &lt;strong&gt; Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.&lt;/strong&gt;
&lt;/p&gt;","Наши предложения---Новинка|Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 панелей|Объем упаковки---0, 077 куб.м"
Ванная,Прогулка в Чехии,"05920 дизайн-панели PANDA ""Прогулка в Чехии""","05920 дизайн-панели PANDA ""Прогулка в Чехии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/3a7/3a7c4d72c5f455a9a0757c3128a8f831.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/92a/92abb38ad89769b99b1577f5abf3fd8e.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fbb/fbb04c74757d57b671abe9a563d404ff.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Прогулка в Чехии,"05930 дизайн-панели PANDA ""Прогулка в Чехии""","05930 дизайн-панели PANDA ""Прогулка в Чехии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/070/070fb2216a8e6265012c4ab39e63ec13.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/92a/92abb38ad89769b99b1577f5abf3fd8e.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fbb/fbb04c74757d57b671abe9a563d404ff.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Винтаж,04920 дизайн-панели PANDA Винтаж,04920 дизайн-панели PANDA Винтаж,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/288/288d9e24c893ba955faaf212534d821a.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/1e1/1e162f497403b7424c91583a170bde80.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6dc/6dc074bbeec52c0a1692458294ea6a6b.png",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Винтаж,04930 дизайн-панели PANDA Винтаж,04930 дизайн-панели PANDA Винтаж,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/75b/75b8f9a900ff5a31d4acc983490abfd5.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/1e1/1e162f497403b7424c91583a170bde80.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6dc/6dc074bbeec52c0a1692458294ea6a6b.png",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Винтаж,04930 дизайн-панели PANDA Винтаж,04930 дизайн-панели PANDA Винтаж,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/75b/75b8f9a900ff5a31d4acc983490abfd5.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/1e1/1e162f497403b7424c91583a170bde80.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6dc/6dc074bbeec52c0a1692458294ea6a6b.png",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Винтаж,04930 дизайн-панели PANDA Винтаж,04930 дизайн-панели PANDA Винтаж,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/75b/75b8f9a900ff5a31d4acc983490abfd5.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/1e1/1e162f497403b7424c91583a170bde80.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/6dc/6dc074bbeec52c0a1692458294ea6a6b.png",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Для потолка,Потолочная панель. Небо,04121 дизайн - панели PANDA Потолочная панель. Небо,04121 дизайн - панели PANDA Потолочная панель. Небо,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/aee/aee9c0500f680e457876b3ef4c28b325.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/a3e/a3edca4f30bbbff2e8b5a31ff78f8112.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/480/480284a9ffb4c0d1eb3b9d0586720b5a.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/349/349df06d2d04a7977a545cf2ffef2e80.png",2800,,"Комплект шт---8|Высота---2 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,5 кв.м.|Упаковка---16 панелей|Объем упаковки---0,07 куб.м."
Для потолка,Потолочная панель. Небо,04122 дизайн - панели PANDA Потолочная панель. Небо Панно,04122 дизайн - панели PANDA Потолочная панель. Небо Панно,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/f4a/f4a19007cb24d9d839bbb15a8a2ccbbc.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/a3e/a3edca4f30bbbff2e8b5a31ff78f8112.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/480/480284a9ffb4c0d1eb3b9d0586720b5a.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/349/349df06d2d04a7977a545cf2ffef2e80.png",2800,,"Комплект шт---8|Высота---2 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,5 кв.м.|Упаковка---16 панелей|Объем упаковки---0,07 куб.м."
